0.00021	-0.00159	0
0.0015	0.00469	0
0.00759	0.01259	0
0.01807	0.0212	0
0.03283	0.03006	0
0.05182	0.03886	0
0.0749	0.04737	0
0.10192	0.05539	0
0.13265	0.06277	0
0.16684	0.06936	0
0.20418	0.07504	0
0.24435	0.07972	0
0.28696	0.08331	0
0.33164	0.08575	0
0.37796	0.08701	0
0.42551	0.08705	0
0.47386	0.08588	0
0.52254	0.08355	0
0.57113	0.0801	0
0.61916	0.07561	0
0.6662	0.07021	0
0.71179	0.06403	0
0.7555	0.05722	0
0.79689	0.04996	0
0.83556	0.04247	0
0.8711	0.03497	0
0.90305	0.02772	0
0.93098	0.02092	0
0.95441	0.01466	0
0.9732	0.00893	0
0.98743	0.00411	0
0.9967	0.00102	0
1	0	0
0.00021	-0.00159	0
0.00457	-0.00674	0
0.01464	-0.01162	0
0.02977	-0.01582	0
0.04987	-0.01912	0
0.07484	-0.02142	0
0.10454	-0.02272	0
0.13876	-0.02305	0
0.17724	-0.02247	0
0.21961	-0.0211	0
0.26547	-0.01905	0
0.31435	-0.01646	0
0.36572	-0.01346	0
0.419	-0.01021	0
0.47359	-0.00684	0
0.52885	-0.0035	0
0.58412	-0.00033	0
0.63871	0.00255	0
0.69193	0.005	0
0.74309	0.00692	0
0.79148	0.00823	0
0.83642	0.00885	0
0.87723	0.00876	0
0.91326	0.00797	0
0.94385	0.00648	0
0.96829	0.00443	0
0.98593	0.00227	0
0.99649	0.00062	0
1	0	0
